"","São Bernardo do Campo","Guarulhos","Brasilândia","Mogi das Cruzes","Osasco","Itaim Bibi","Jardim Paulista","Grajaú"
"São Bernardo do Campo",1841764.650255,59642.819885,6001.35912,7631.45362,12758.900951,118317.052212,174176.119097165,3304.31138
"Guarulhos",61142.582197,1543150.868165,11307.951884,66238.52128,13848.98735,30363.359119,222614.723127674,2862.6913
"Brasilândia",4216.454745,12469.824171,324644.586715,578.33089,43751.690765,21803.337917,141942.314386,1223.46763
"Mogi das Cruzes",7692.704441,67275.526331,578.33089,650909.51833,1235.003345,4576.871797,19959.408349,392.46941
"Osasco",12733.29017,13697.4598,46002.473463,1235.00335,1286076.553263,112703.473652,104175.986119623,37709.324326
"Itaim Bibi",116292.685624,28319.817231,21597.967794,4417.98889,118289.197765,1473981.069031,319670.238119968,147799.833862
"Jardim Paulista",176636.150399,220527.672731,140210.534433,20194.94603,104081.275592,323252.020009999,1864019.97677796,44956.579768
"Grajaú",3304.31136,1712.709321,1650.39358,392.46941,38850.314387,152061.492627,41020.5538537855,529717.231349
