"macrorregiao","nome_candidato","municipio","utm_x","utm_y","lon","lat","fonte","dist_ao_centroide_km","nome_macrorregiao"
1,"Monte das Oliveiras","SANTO ANDRÉ",344904.850433447,7381973.94839984,-46.5208333333333,-23.6655555555556,"anac_heliponto",0.483187581723081,"São Bernardo do Campo"
2,"Terminal Petrobrás de Guarulhos","GUARULHOS",352194.735210559,7403644.7483528,-46.4472222222222,-23.4705555555556,"anac_heliponto",3.30160641714081,"Guarulhos"
3,"Ortosíntese","SÃO PAULO",323834.514043835,7406839.28573909,-46.7244444444445,-23.4388888888889,"anac_heliponto",2.53517629770134,"Brasilândia"
4,"Júlio Simões - Matriz","MOGI DAS CRUZES",374302.285085103,7395970.09363339,-46.2314444444444,-23.5417222222222,"anac_heliponto",4.62427748810204,"Mogi das Cruzes"
5,"Helipark","CARAPICUÍBA",313197.934394596,7392770.31948562,-46.8302777777778,-23.5647222222222,"anac_heliponto",2.04912622728701,"Osasco"
6,"Henri Dunant","SÃO PAULO",326721.077756999,7386014.51303818,-46.6986111111111,-23.6272222222222,"anac_heliponto",2.46454276590726,"Itaim Bibi"
7,"Porto Seguro","SÃO PAULO",332033.883630974,7396801.34775623,-46.6453333333333,-23.5303888888889,"anac_heliponto",1.28301968436872,"Jardim Paulista"
8,"Hospital Autódromo José Carlos Pace","SÃO PAULO",327156.927356664,7377958.98255792,-46.6952777777778,-23.7,"anac_heliponto",6.53842199929553,"Grajaú"
