"zona","nome_zona","cod_municipio","nome_municipio","cod_distrito","nome_distrito","area_ha","utm_x","utm_y","area_m2_geom","nome_zona_tab","domicilios","familias","populacao","matriculas_escolares","empregos","automoveis_particulares","viagens_produzidas","viagens_atraidas","area_ha_tab","renda_total","renda_media_familiar","renda_per_capita","renda_mediana_familiar"
238,"Alto do Ipiranga",36,"São Paulo",33,"Ipiranga",160.81,335812.418948839,7388859.70036885,1604242.29589844,"Alto do Ipiranga",6987,6987,19260.003729837,3208.8838818866,11312.6160917262,4666.31501041719,43595.5861181973,43749.1560394098,160.81,33365335.5066208,4775.34499880075,1732.36391719553,4000
239,"Vila São José",36,"São Paulo",33,"Ipiranga",177.55,335403.135658095,7390257.2958657,1771203.22387695,"Vila São José",5668,5668,15480.000766875,16018.8549209565,17557.2173011038,4734.75205303849,80949.0663943396,81207.4658107477,177.55,26593592.2585961,4691.88289671773,1717.93223134088,3579.57730072334
240,"Vila Monumento",36,"São Paulo",33,"Ipiranga",165.19,335723.991206247,7391646.60820015,1647890.48974609,"Vila Monumento",7240.00000000001,7240.00000000001,19388.9963144797,4597.27739347257,19036.8315910375,6188.56732818776,55955.036333912,56191.2743427194,165.19,37322480.5236803,5155.03874636468,1924.93102367594,4209.08262865571
241,"Vila Independência",36,"São Paulo",33,"Ipiranga",170.22,336728.238154038,7391268.48915357,1698117.99462891,"Vila Independência",3516,3516,9671.99748587582,1875.08725372723,12369.4997767699,2221.52691073297,30083.1233424365,29567.7962146234,170.22,12417327.3947215,3531.66308154762,1283.84311646634,2935
242,"Vila Carioca",36,"São Paulo",33,"Ipiranga",249.11,337922.90326512,7388899.10255722,2485045.8996582,"Vila Carioca",8705,8705,27111.9945299783,1670.39731718108,12534.5219141238,3446.9890732104,52619.5262173995,52062.8898891781,249.11,27133286.3563383,3116.97718050986,1000.78532866095,2452.83554594684
243,"Moinho Velho",36,"São Paulo",69,"Sacomã",347.41,336701.62881837,7387259.88941581,3465777.60058594,"Moinho Velho",16838,16838,44779.0048323864,16802.2640828676,20212.529873612,11320.4372941967,93673.6320742206,93648.7781301619,347.41,64385349.6455177,3823.81218942378,1437.84681876072,3000
244,"Vila Heliópolis",36,"São Paulo",69,"Sacomã",232.81,337941.991998153,7387446.41336631,2322525.37231445,"Vila Heliópolis",20262,22131.12,62303.9949564572,3408.00532357412,10432.6292971856,9931.71079643181,111032.075165453,110313.431958859,232.81,62428684.1381518,2820.85516404735,1002.00130315531,2200
245,"São João Clímaco",36,"São Paulo",69,"Sacomã",198.15,337958.832583347,7385485.85467579,1976668.20581055,"São João Clímaco",8652.00000000001,8652.00000000001,24591.0039588956,1694.36737495592,6730.64706555808,4887.37072844338,32795.7869429487,33127.836147889,198.15,32940810.9179109,3807.30593133505,1339.54721706247,3000
246,"Anchieta",36,"São Paulo",69,"Sacomã",217.08,337282.701502544,7384106.3839266,2165552.7409668,"Anchieta",10426,10426,29972.99884371,13016.8220796787,7198.79836667492,7879.87371904786,46890.3872101978,46925.0731529556,217.08,40294029.5406168,3864.76400734863,1344.34427968734,3579.57730072334
247,"Vila das Mercês",36,"São Paulo",69,"Sacomã",468.94,336224.651653393,7384687.61119996,4678116.02783203,"Vila das Mercês",33838,33838,98763.0089232092,17109.3634145711,21050.8269576635,19619.1865442048,199360.644339142,200303.953498209,468.94,134008021.684847,3960.2819813478,1356.86450975832,3400
248,"Parque do Estado",36,"São Paulo",27,"Cursino",445.41,334499.983505545,7383445.20248989,4443453.28759766,"Parque do Estado",0,0,0,0,2132.40975004423,0,5982.59526618675,5982.59526618675,445.41,0,0,0,0
