"p","milp","lp","gap_pct","n_h_fracionario"
2,129189.397912287,129189.397912287,-1.01376149414538e-13,0
3,86719.8902163477,86719.8902163476,5.03410988830691e-14,0
4,66712.4569856031,66712.4569856031,1.09064452771596e-13,0
5,48027.2272904069,48027.2272904069,-1.51496516136311e-14,0
6,35914.7288458668,35914.7288458668,0,0
7,25474.5366896198,25474.5366896198,0,0
8,23490.215986889,23490.215986889,0,0
