oaci,ciad,nome,municipio,lon,lat,operacao,validade_registro,portaria
SWHX,SP0812,Conjunto Hospitalar do Mandaqui,SÃO PAULO,-46.63055555555555,-23.485,VFR Diurna/Noturna,06/03/2023,PA2013-0564
SWND,SP0818,Tamboré,BARUERI,-46.825833333333335,-23.509722222222223,VFR Diurna,11/07/2022,PA2012-1386
SWNI,SP0819,Hospital e Maternidade Santa Marina,SÃO PAULO,-46.65277777777778,-23.65694444444444,VFR Diurna/Noturna,18/08/2025,PA2015-2202
SWOP,SP0821,APTA,SÃO BERNARDO DO CAMPO,-46.59277777777778,-23.768055555555556,VFR Diurna/Noturna,29/01/2025,PA2015-0214
SWOU,SP0822,Rede Globo 2,SÃO PAULO,-46.69833333333333,-23.615000000000002,VFR Diurna/Noturna,09/11/2022,PA2012-2379
SJBP,SP0600,Atrium VI.com,SÃO PAULO,-46.687555555555555,-23.595527777777775,VFR Diurna/Noturna,06/06/2022,PA2013-0803
SWQV,SP0826,Volkswagen,SÃO BERNARDO DO CAMPO,-46.54972222222222,-23.729527777777776,VFR Diurna/Noturna,11/09/2024,PA2014-2121
SWRV,SP0828,Rochaverá - Alfa,SÃO PAULO,-46.700500000000005,-23.62263888888889,VFR Diurna/Noturna,30/01/2023,PA2015-0377
SWSK,SP0829,Akron,SÃO PAULO,-46.60583333333334,-23.609166666666667,VFR Diurna,26/10/2027,PA2017-3477
SWTE,SP0831,WEST SIDE,BARUERI,-46.849444444444444,-23.503611111111113,VFR Diurna/Noturna,01/07/2023,PA2013-1659
SWTF,SP0832,Friboi,SÃO PAULO,-46.73111111111111,-23.51361111111111,VFR Diurna/Noturna,23/02/2026,PA2016-0358
SWUS,SP0835,Cacau Show,ITAPEVI,-46.96541666666667,-23.51833333333333,VFR Diurna/Noturna,17/10/2022,PA2013-1034
SNSQ,SP0730,Centro Empresarial Nações Unidas-Torre Norte,SÃO PAULO,-46.69638888888888,-23.610277777777778,VFR Diurna/Noturna,29/11/2022,PA2012-2592
SNSZ,SP1222,Miss Silvia Morizono,SÃO PAULO,-46.68111111111111,-23.592222222222222,VFR Diurna/Noturna,,
SDSZ,SP0421,Banco Safra,SÃO PAULO,-46.65972222222222,-23.558055555555555,VFR Diurna/Noturna,10/12/2029,PA2019-3703
SDZT,SP0461,Pravda,BARUERI,-46.84627777777778,-23.49727777777778,VFR Diurna/Noturna,04/03/2023,PA2018-3317
SNTN,SP0732,Gama,BARUERI,-46.85583333333334,-23.484722222222224,VFR Diurna/Noturna,24/01/2021,PA2011-0121
SIBM,SP0468,Hangar ABC,SÃO CAETANO DO SUL,-46.58027777777778,-23.616944444444446,VFR Diurna/Noturna,08/11/2020,PA2010-1962
SNQH,SP0723,Wheaton,SÃO BERNARDO DO CAMPO,-46.56711111111112,-23.715166666666665,VFR Diurna/Noturna,02/05/2029,PA2019-1226
SIGZ,SP0498,Represa,SÃO PAULO,-46.69894444444444,-23.61711111111111,VFR Diurna/Noturna,20/08/2022,PA2013-1023
SSUO,SP0784,Unifly,ARUJÁ,-46.330555555555556,-23.40861111111111,VFR Diurna/Noturna,20/09/2021,PA2011-1802
SDTJ,SP0424,Edifício Atrium  V,SÃO PAULO,-46.68444444444444,-23.59583333333333,VFR Diurna/Noturna,24/09/2023,PA2013-2472
SSIK,SP0751,VIVO,SANTANA DE PARNAÍBA,-46.85777777777778,-23.46563888888889,VFR Diurna/Noturna,25/01/2022,PA2013-1208
SIHK,SP0500,Hospital Santa Catarina,SÃO PAULO,-46.64555555555555,-23.56888888888889,VFR Diurna/Noturna,06/03/2023,PA2013-1511
SWYD,SP0841,Spazio Faria Lima,SÃO PAULO,-46.68222222222222,-23.585277777777776,VFR Diurna/Noturna,26/03/2022,PA2012-0541
SWNX,SP0871,Tek Nações Unidas,SÃO PAULO,-46.70202777777778,-23.616861111111113,VFR Diurna/Noturna,,
SDEU,SP0320,Empresarial Anhanguera,CAJAMAR,-46.83166666666667,-23.384722222222223,VFR Diurna,20/08/2022,PA2012-1666
SWMF,SP0816,Higienópolis Medical Center,SÃO PAULO,-46.65861111111111,-23.55,VFR Diurna/Noturna,20/05/2023,PA2014-1552
SJSL,SP0658,Hospital Sírio Libanês II,SÃO PAULO,-46.653055555555554,-23.557222222222222,VFR Diurna/Noturna,20/03/2025,PA2015-0680
SIEP,SP0484,Riachuelo/Matriz,SÃO PAULO,-46.646388888888886,-23.50111111111111,VFR Diurna/Noturna,07/10/2023,PA2013-2600
SDLF,SP0381,SBT,OSASCO,-46.778055555555554,-23.476666666666667,VFR Diurna/Noturna,13/03/2025,PA2019-1530
SSPK,SP0767,Panco 8,SÃO PAULO,-46.58527777777778,-23.430833333333336,VFR Diurna,16/09/2024,PA2019-1526
SWEL,SP0849,Limão,SÃO PAULO,-46.680638888888886,-23.505583333333334,VFR Diurna/Noturna,,
SDJU,SP0367,Hospital São Luiz,SÃO PAULO,-46.67305555555555,-23.590555555555554,VFR Diurna/Noturna,06/03/2023,PA2019-1680
SDTG,SP0423,Edifício Atrium IV,SÃO PAULO,-46.68666666666666,-23.593055555555555,VFR Diurna/Noturna,24/09/2023,PA2019-44
SDJW,SP0368,Rede D'Or São Luiz Morumbi,SÃO PAULO,-46.70333333333333,-23.590833333333332,VFR Diurna/Noturna,06/03/2023,PA2016-3638
SJUN,SP0861,São Fernando Golf Club,COTIA,-46.878194444444446,-23.572222222222223,VFR Diurna,,
SDKD,SP0370,Condomínio América Business Park,SÃO PAULO,-46.70305555555556,-23.61861111111111,VFR Diurna/Noturna,15/02/2022,PA2016-0303
SJWC,SP0672,Cometa Vila Maria,SÃO PAULO,-46.57916666666667,-23.51722222222222,VFR Diurna/Noturna,20/11/2024,PA2014-2730
SJWJ,SP0673,HPE,SÃO PAULO,-46.70305555555556,-23.67,VFR Diurna/Noturna,07/03/2022,PA2016-2756
SJXP,SP0678,Alice Maria Sampaio Ferreira,SÃO PAULO,-46.69416666666666,-23.608611111111113,VFR Diurna/Noturna,26/03/2022,PA2012-0543
SJYN,SP0681,Centro Empresarial Araguaia II - CEA II,BARUERI,-46.840833333333336,-23.501944444444444,VFR Diurna/Noturna,02/07/2021,PA2016-0984
SJZU,SP0686,Seculum,SÃO PAULO,-46.68388888888889,-23.583888888888886,VFR Diurna/Noturna,04/10/2022,PA2012-2010
SJZY,SP0688,Centro Administrativo Rio Negro,BARUERI,-46.84861111111111,-23.500555555555554,VFR Diurna/Noturna,23/07/2025,PA2015-1947
SNAZ,SP0690,Amazônia,BARUERI,-46.849722222222226,-23.49277777777778,VFR Diurna/Noturna,15/03/2027,PA2017-0638
SNBQ,SP0692,Bela Cintra,SÃO PAULO,-46.65861111111111,-23.55388888888889,VFR Diurna/Noturna,06/01/2021,PA2014-1763
SNDK,SP0694,C.T.O. Itaú,SÃO PAULO,-46.61555555555556,-23.55777777777778,VFR Diurna/Noturna,28/02/2022,PA2012-0378
SNDM,SP0695,Karina,GUARULHOS,-46.43472222222222,-23.44,VFR Diurna/Noturna,02/06/2021,PA2011-1108
SIGV,SP0497,Rede Record,SÃO PAULO,-46.662527777777775,-23.52375,VFR Diurna/Noturna,14/02/2029,PA2019-0381
SNHL,SP0703,Ama,ARUJÁ,-46.308611111111105,-23.383333333333333,VFR Diurna/Noturna,24/09/2023,PA2013-2466
SNHV,SP0705,Vaska,GUARULHOS,-46.40833333333333,-23.38861111111111,VFR Diurna/Noturna,11/11/2020,PA2010-2027
SNIA,SP0706,Arujá,ARUJÁ,-46.35444444444445,-23.394166666666667,VFR Diurna,23/12/2025,PA2015-3391
SDUJ,SP0431,Millennium,SÃO PAULO,-46.68333333333333,-23.583166666666667,VFR Diurna/Noturna,04/10/2022,PA2013-0796
SNID,SP0707,Instituto Dr. Arnaldo,SÃO PAULO,-46.67805555555555,-23.55611111111111,VFR Diurna/Noturna,04/07/2022,PA2012-1330
SNJS,SP0708,Júlio Simões - Matriz,MOGI DAS CRUZES,-46.23144444444445,-23.541722222222223,VFR Diurna/Noturna,23/12/2025,PA2015-3390
SNLR,SP0713,Itautec,SÃO PAULO,-46.57222222222222,-23.53111111111111,VFR Diurna/Noturna,19/11/2022,PA2012-2497
SNMY,SP0716,Medic Life,BARUERI,-46.856944444444444,-23.485,VFR Diurna/Noturna,21/09/2021,PA2011-1790
SNNI,SP0718,HTO - Horto da Paz,ITAPECERICA DA SERRA,-46.88583333333333,-23.72833333333333,VFR Diurna,20/07/2022,PA2013-2514
SNPH,SP0720,Rei da Pamonha,SÃO PAULO,-46.75694444444444,-23.445,VFR Diurna/Noturna,09/08/2023,PA2013-2028
SNQC,SP0722,IGESP,SÃO PAULO,-46.65083333333333,-23.561111111111114,VFR Diurna,12/08/2021,PA2011-1531
SNRE,SP0725,Ellece,GUARULHOS,-46.43277777777777,-23.47222222222222,VFR Diurna/Noturna,17/05/2026,PA2016-1205
SNRW,SP0729,Reik Morumbi,SÃO PAULO,-46.70722222222223,-23.597777777777775,VFR Diurna,18/04/2028,PA2018-1216
SNVT,SP0734,Pires do Rio,SÃO CAETANO DO SUL,-46.54666666666667,-23.61527777777778,VFR Diurna,09/11/2022,PA2012-2378
SNWW,SP0736,Paradise Golf,MOGI DAS CRUZES,-46.25861111111111,-23.590555555555554,VFR Diurna/Noturna,28/02/2022,PA2016-1954
SNXJ,SP0737,Juscelino Plaza,SÃO PAULO,-46.67552777777777,-23.58911111111111,VFR Diurna/Noturna,01/03/2022,PA2013-0874
SDAC,SP0286,Aché,GUARULHOS,-46.52222222222222,-23.47472222222222,VFR Diurna/Noturna,,
SWCX,SP0866,Icon Realty Cajamar,CAJAMAR,-46.84283333333334,-23.37611111111111,VFR Diurna/Noturna,24/07/2030,PA2020-1712
SSQX,SP0773,Frei Caneca Shopping,SÃO PAULO,-46.65277777777778,-23.55388888888889,VFR Diurna/Noturna,08/08/2021,PA2016-0595
SDJY,SP0369,Paulista Capital Plaza - The Flat,SÃO PAULO,-46.646388888888886,-23.571666666666665,VFR Diurna/Noturna,,
