oaci,ciad,nome,municipio,lon,lat,operacao,validade_registro,portaria
SDII,SP0354,iTower,BARUERI,-46.84930555555556,-23.504722222222224,VFR Diurna/Noturna,08/07/2021,PA2015-3191
SDIT,SP0357,Itaú NPD Paulista,SÃO PAULO,-46.658055555555556,-23.576666666666668,VFR Diurna/Noturna,24/01/2023,PA2013-0195
SDIW,SP0358,Edifício São Paulo Trade Building,SÃO PAULO,-46.68944444444444,-23.594166666666666,VFR Diurna/Noturna,20/06/2021,PA2013-2323
SDJK,SP0363,Centro Empresarial Araguaia,BARUERI,-46.841944444444444,-23.501944444444444,VFR Diurna/Noturna,05/06/2025,PA2017-0467
SDJP,SP0365,Igreja Mundial do Poder de Deus - IMPD,SÃO PAULO,-46.62075,-23.550833333333333,VFR Diurna/Noturna,19/11/2028,PA2018-3335
SDKG,SP0371,Francisco Mellão,SÃO PAULO,-46.68861111111111,-23.59361111111111,VFR Diurna/Noturna,10/04/2024,PA2014-0867
SDKM,SP0373,Hotel Emiliano,SÃO PAULO,-46.665277777777774,-23.566111111111113,VFR Diurna/Noturna,12/04/2022,PA2014-3143
SDKT,SP0375,Edifício Dacon,SÃO PAULO,-46.68388888888889,-23.580555555555556,VFR Diurna/Noturna,22/08/2023,PA2017-0651
SDKV,SP0377,Rede Globo,SÃO PAULO,-46.69694444444444,-23.614722222222223,VFR Diurna/Noturna,07/07/2021,PA2015-1890
SDKY,SP0379,Hospital das Clínicas,SÃO PAULO,-46.66927777777777,-23.558055555555555,VFR Diurna/Noturna,19/03/2023,PA2013-0719
SDLB,SP0380,Metropolitan Office,SÃO PAULO,-46.682694444444444,-23.581194444444446,VFR Diurna/Noturna,07/03/2022,PA2013-0801
SDMZ,SP0387,Mercedes-Benz do Brasil ,SÃO BERNARDO DO CAMPO,-46.57944444444445,-23.66333333333333,VFR Diurna/Noturna,10/03/2024,PA2015-0315
SDNP,SP0390,Condomínio Conde Matarazzo,SÃO PAULO,-46.63763888888889,-23.547666666666668,VFR Diurna/Noturna,24/01/2023,PA2013-0191
SDOC,SP0392,Hospital do Coração,SÃO PAULO,-46.643055555555556,-23.573055555555555,VFR Diurna/Noturna,24/02/2022,PA2012-0350
SDOF,SP0393,Edifício Palladio,SÃO PAULO,-46.68555555555555,-23.59472222222222,VFR Diurna/Noturna,23/07/2025,PA2015-1950
